iter	RMSE
0	11.5840396
1	10.71168844
2	9.943109106
3	9.293644983
4	8.614466236
5	8.124033499
6	7.68186448
7	7.189659572
8	6.80751751
9	6.454122895
10	6.114849606
11	5.852593178
12	5.583181002
13	5.38784541
14	5.143622297
15	4.917755915
16	4.735467102
17	4.54662396
18	4.39981265
19	4.247208866
20	4.120457316
21	4.006666986
22	3.886832952
23	3.803086248
24	3.695081549
25	3.611498671
26	3.517588659
27	3.439159376
28	3.339753716
29	3.284703347
30	3.189157856
31	3.119329585
32	3.064862909
33	3.018084084
34	2.973435916
35	2.934896246
36	2.871781285
37	2.820705284
38	2.769340394
39	2.738893657
40	2.701213726
41	2.661244737
42	2.629500122
43	2.614924031
44	2.584026388
45	2.53807022
46	2.509472047
47	2.466315411
48	2.443188838
49	2.42031061
50	2.369301883
51	2.333965103
52	2.310282076
53	2.261226771
54	2.253455285
55	2.217811843
56	2.188031151
57	2.15023613
58	2.143182324
59	2.113767895
60	2.092178684
61	2.082481305
62	2.03862164
63	2.012496948
64	2.006461048
65	2.000664227
66	1.977869639
67	1.939265901
68	1.933062386
69	1.927275508
70	1.882500086
71	1.852067343
72	1.799783633
73	1.795020399
74	1.789148918
75	1.767372159
76	1.754720202
77	1.730051279
78	1.69329196
79	1.688075883
80	1.683549396
81	1.673059889
82	1.631875038
83	1.614542276
84	1.601224563
85	1.58073603
86	1.55633863
87	1.530091178
88	1.498218946
89	1.494259519
90	1.461872967
91	1.44308807
92	1.419206175
93	1.396007301
94	1.375306
95	1.369629875
96	1.362543352
97	1.358450474
98	1.354471987
99	1.330210359
100	1.298905075
101	1.289408923
102	1.279227013
103	1.250971718
104	1.247798412
105	1.221552726
106	1.206579095
107	1.185377757
108	1.181558152
109	1.178005749
110	1.155138174
111	1.131318663
112	1.116855702
113	1.110846769
114	1.10336903
115	1.086494604
116	1.06816994
117	1.059362046
118	1.053991511
119	1.050954198
120	1.034108918
121	1.020182395
122	1.009748552
123	1.007175155
124	1.00171361
125	0.9844948861
126	0.9798185409
127	0.961230995
128	0.9555099735
129	0.9373085827
130	0.9270210013
131	0.9100779024
132	0.8999676948
133	0.8777136382
134	0.8759379068
135	0.8671009987
136	0.8511309097
137	0.84213845
138	0.8296427568
139	0.8245811604
140	0.8209272796
141	0.8153489356
142	0.8036017493
143	0.7990221449
144	0.7972080916
145	0.7928981885
146	0.7795083024
147	0.7694230788
148	0.7651051821
149	0.7610219786
150	0.7489393492
151	0.7458215843
152	0.7383788064
153	0.7323671879
154	0.7311077881
155	0.715044915
156	0.7041933817
157	0.6872239671
158	0.6773025524
159	0.6760400391
160	0.6672809906
161	0.6586650164
162	0.6575455776
163	0.6447274547
164	0.6309992721
165	0.6179471755
166	0.6092669454
167	0.6002179086
168	0.5990685718
169	0.5966454714
170	0.595519446
171	0.5880570614
172	0.5793915996
173	0.5697039797
174	0.5688259392
175	0.5653098165
176	0.5645109487
177	0.5528613194
178	0.5469560733
179	0.5410480894
180	0.533691492
181	0.5237008747
182	0.5146359709
183	0.5136092346
184	0.505876569
185	0.4978992189
186	0.4964272088
187	0.4930090275
188	0.4836178622
189	0.4771305138
190	0.4693032339
191	0.4677331965
192	0.4624395649
193	0.4528204551
194	0.4445802389
195	0.4418332301
196	0.4365023239
197	0.4293987583
198	0.4261067573
199	0.4185058795
