iter	Passed	Remaining
0	3	757
1	6	655
2	9	638
3	12	617
4	15	596
5	18	584
6	20	573
7	23	554
8	26	554
9	28	545
10	31	536
11	33	528
12	36	521
13	38	516
14	41	508
15	43	496
16	45	486
17	47	483
18	50	478
19	52	472
20	55	469
21	57	463
22	59	459
23	62	456
24	64	452
25	67	449
26	69	444
27	71	439
28	73	435
29	76	433
30	78	429
31	81	425
32	83	422
33	86	420
34	88	416
35	90	412
36	92	409
37	95	406
38	97	402
39	100	400
40	102	398
41	105	396
42	107	393
43	110	391
44	112	388
45	114	384
46	117	382
47	119	378
48	121	375
49	124	372
50	126	369
51	128	366
52	131	363
53	133	361
54	135	357
55	137	354
56	139	350
57	142	348
58	144	345
59	147	343
60	149	340
61	151	337
62	154	335
63	156	332
64	158	329
65	161	327
66	163	324
67	165	322
68	168	319
69	170	317
70	173	314
71	175	312
72	177	308
73	179	305
74	182	303
75	184	300
76	186	297
77	188	295
78	191	292
79	193	290
80	196	288
81	198	285
82	200	283
83	203	280
84	205	278
85	207	275
86	210	273
87	212	270
88	214	267
89	217	265
90	219	263
91	221	260
92	224	258
93	226	255
94	229	253
95	231	251
96	234	248
97	236	246
98	238	243
99	241	241
100	243	238
101	246	236
102	249	234
103	252	232
104	254	230
105	257	228
106	260	226
107	262	223
108	265	221
109	268	219
110	270	217
111	273	214
112	276	212
113	278	210
114	281	207
115	283	205
116	286	203
117	289	201
118	292	198
119	294	196
120	296	193
121	299	191
122	301	188
123	303	186
124	305	183
125	308	181
126	311	178
127	313	176
128	316	174
129	319	171
130	321	169
131	325	167
132	327	164
133	329	162
134	332	159
135	334	157
136	337	155
137	339	152
138	342	150
139	344	147
140	347	145
141	350	143
142	352	140
143	355	138
144	357	135
145	360	133
146	362	130
147	365	128
148	368	126
149	371	123
150	374	121
151	377	119
152	380	116
153	382	114
154	385	112
155	388	109
156	391	107
157	394	104
158	396	102
159	399	99
160	402	97
161	405	95
162	408	92
163	411	90
164	414	87
165	417	85
166	420	83
167	423	80
168	426	78
169	429	75
170	432	73
171	435	70
172	438	68
173	441	65
174	443	63
175	446	60
176	449	58
177	451	55
178	454	53
179	456	50
180	459	48
181	461	45
182	464	43
183	467	40
184	469	38
185	471	35
186	474	32
187	476	30
188	478	27
189	481	25
190	483	22
191	485	20
192	487	17
193	490	15
194	492	12
195	494	10
196	497	7
197	499	5
198	502	2
199	505	0
