"id","ts","pm25","pm10","aqi_score"
"3","2025-03-29 00:50:26","115","69","115"
"4","2025-03-29 01:09:36","115","69","115"
"5","2025-03-29 02:09:36","163","75","163"
"6","2025-03-29 03:09:36","159","72","159"
"7","2025-03-29 04:09:36","162","69","162"
"8","2025-03-29 05:09:36","109","60","109"
"9","2025-03-29 06:09:36","103","39","103"
"10","2025-03-29 07:09:36","114","52","114"
"11","2025-03-29 08:09:36","113","52","113"
"12","2025-03-29 09:09:36","109","67","109"
"13","2025-03-29 10:09:36","127","66","127"
"14","2025-03-29 11:09:36","120","64","120"
"15","2025-03-29 12:09:36","129","60","129"
"16","2025-03-29 13:09:36","124","57","124"
"17","2025-03-29 14:09:36","127","62","127"
"18","2025-03-29 15:09:36","139","50","139"
"19","2025-03-29 16:09:36","116","57","116"
"20","2025-03-29 17:09:36","122","57","122"
"21","2025-03-29 18:09:36","124","56","124"
"22","2025-03-29 19:09:36","98","58","98"
"23","2025-03-29 20:09:36","125","52","125"
"24","2025-03-29 21:09:36","96","40","96"
"25","2025-03-29 22:09:36","97","41","97"
"26","2025-03-29 23:09:36","120","56","120"
"27","2025-03-30 00:09:36","130","58","130"
"28","2025-03-30 01:09:36","111","50","111"
"29","2025-03-30 02:09:36","128","44","128"
"30","2025-03-30 03:09:36","124","64","124"
"31","2025-03-30 04:09:36","151","50","151"
"32","2025-03-30 05:09:36","113","50","113"
"33","2025-03-30 06:09:36","118","50","118"
"34","2025-03-30 07:09:36","109","50","109"
"35","2025-03-30 08:09:36","99","40","99"
"36","2025-03-30 09:09:36","93","41","93"
"37","2025-03-30 10:09:36","114","40","114"
"38","2025-03-30 11:09:36","107","47","107"
"39","2025-03-30 12:09:36","109","47","109"
"40","2025-03-30 13:09:36","99","42","99"
"41","2025-03-30 14:09:36","107","43","107"
"42","2025-03-30 15:09:36","99","38","99"
"43","2025-03-30 16:09:36","104","42","104"
"44","2025-03-30 17:09:36","90","36","90"
"45","2025-03-30 18:09:36","88","31","88"
"46","2025-03-30 19:09:36","94","52","94"
"47","2025-03-30 20:09:36","98","52","98"
"48","2025-03-30 21:09:36","98","38","98"
"49","2025-03-30 22:09:36","164","38","164"
"50","2025-03-30 23:09:36","89","39","89"
"51","2025-03-31 00:09:36","168","39","168"
"52","2025-03-31 01:09:36","168","38","168"
"53","2025-03-31 02:09:36","93","50","93"
"54","2025-03-31 03:09:36","98","40","98"
"55","2025-03-31 04:09:36","96","40","96"
"56","2025-03-31 05:09:36","83","33","83"
"57","2025-03-31 06:09:36","90","32","90"
"58","2025-03-31 07:09:36","70","40","70"
"59","2025-03-31 08:09:36","90","51","90"
"60","2025-03-31 09:09:36","95","53","95"
"61","2025-03-31 10:09:36","97","57","97"
"62","2025-03-31 11:09:36","106","66","106"
"63","2025-03-31 12:09:36","107","55","107"
"64","2025-03-31 13:09:36","108","51","108"
"65","2025-03-31 14:09:36","92","40","92"
"66","2025-03-31 15:09:36","119","45","119"
"67","2025-03-31 16:09:36","107","44","107"
"68","2025-03-31 17:09:36","109","65","109"
"69","2025-03-31 18:09:36","114","63","114"
"70","2025-03-31 19:09:36","107","44","107"
"71","2025-03-31 20:09:36","101","42","101"
"72","2025-03-31 21:09:36","90","38","90"
"73","2025-03-31 22:09:36","63","58","63"
"74","2025-03-31 23:09:36","63","58","63"
"75","2025-04-01 00:09:36","74","46","74"
