"id","ts","pm25","pm10","aqi_score"
"1","2025-03-29 20:12:48","125","52","125"
"2","2025-03-29 21:40:59","97","41","97"
"3","2025-03-29 22:40:59","120","56","120"
"4","2025-03-29 23:40:59","130","58","130"
"5","2025-03-30 00:40:59","130","58","130"
"6","2025-03-30 01:40:59","128","44","128"
"7","2025-03-30 02:40:59","124","64","124"
"8","2025-03-30 03:40:59","124","64","124"
"9","2025-03-30 04:40:59","84","48","84"
"10","2025-03-30 05:40:59","96","40","96"
"11","2025-03-30 06:40:59","101","43","101"
"12","2025-03-30 07:40:59","99","40","99"
"13","2025-03-30 08:40:59","93","41","93"
"14","2025-03-30 09:40:59","114","40","114"
"15","2025-03-30 10:40:59","107","47","107"
"16","2025-03-30 11:40:59","109","47","109"
"17","2025-03-30 12:40:59","99","42","99"
"18","2025-03-30 13:40:59","107","43","107"
"19","2025-03-30 14:40:59","99","38","99"
"20","2025-03-30 15:40:59","104","42","104"
"21","2025-03-30 16:40:59","90","36","90"
"22","2025-03-30 17:40:59","88","31","88"
"23","2025-03-30 18:40:59","94","52","94"
"24","2025-03-30 19:40:59","98","52","98"
"25","2025-03-30 20:40:59","98","38","98"
"26","2025-03-30 21:40:59","164","38","164"
"27","2025-03-30 22:40:59","89","39","89"
"28","2025-03-30 23:40:59","168","39","168"
"29","2025-03-31 00:40:59","168","38","168"
"30","2025-03-31 01:40:59","168","38","168"
"31","2025-03-31 02:40:59","98","40","98"
"32","2025-03-31 03:40:59","96","40","96"
"33","2025-03-31 04:40:59","83","33","83"
"34","2025-03-31 05:40:59","90","32","90"
"35","2025-03-31 06:40:59","70","40","70"
"36","2025-03-31 07:40:59","90","51","90"
"37","2025-03-31 08:40:59","95","53","95"
"38","2025-03-31 09:40:59","97","57","97"
"39","2025-03-31 10:40:59","106","66","106"
"40","2025-03-31 11:40:59","107","55","107"
"41","2025-03-31 12:40:59","108","51","108"
"42","2025-03-31 13:40:59","92","40","92"
"43","2025-03-31 14:40:59","119","45","119"
"44","2025-03-31 15:40:59","107","44","107"
"45","2025-03-31 16:40:59","109","65","109"
"46","2025-03-31 17:40:59","114","63","114"
"47","2025-03-31 18:40:59","90","50","90"
"48","2025-03-31 19:40:59","101","42","101"
"49","2025-03-31 20:47:13","90","38","90"
"50","2025-03-31 21:47:13","90","38","90"
"51","2025-03-31 22:47:13","67","50","67"
"52","2025-03-31 23:47:13","74","46","74"
"53","2025-04-01 00:47:13","66","51","66"
"54","2025-04-01 01:47:13","66","20","66"
"55","2025-04-01 02:47:13","59","34","59"
