"id","ts","temperature","humidity","wind_speed"
"1","2025-03-29 20:41:01","33.41","60","2.57"
"2","2025-03-29 21:40:58","30.91","62","3.6"
"3","2025-03-29 22:40:58","29.99","66","4.63"
"4","2025-03-29 23:40:58","29.99","70","4.12"
"5","2025-03-30 00:40:58","29.99","74","5.14"
"6","2025-03-30 01:40:58","28.99","79","3.6"
"7","2025-03-30 02:40:58","28.99","84","5.14"
"8","2025-03-30 03:40:58","28.99","79","3.6"
"9","2025-03-30 04:40:58","28.99","79","3.6"
"10","2025-03-30 05:40:58","28.99","79","2.06"
"11","2025-03-30 06:40:59","28.99","79","3.6"
"12","2025-03-30 07:40:58","30.9","81","2.06"
"13","2025-03-30 08:40:58","31.69","77","4.12"
"14","2025-03-30 09:40:58","32.75","69","4.63"
"15","2025-03-30 10:40:58","34.34","62","4.12"
"16","2025-03-30 11:40:58","34.28","65","3.09"
"17","2025-03-30 12:40:58","34.56","61","5.04"
"18","2025-03-30 13:40:58","33.99","61","5"
"19","2025-03-30 14:40:58","32.95","72","4.74"
"20","2025-03-30 15:40:58","32.82","70","4.72"
"21","2025-03-30 16:40:58","33.4","69","5.21"
"22","2025-03-30 17:40:59","33.33","64","5.37"
"23","2025-03-30 18:40:59","33.2","64","5.3"
"24","2025-03-30 19:40:59","32.6","83","4.34"
"25","2025-03-30 20:40:58","32.59","77","4.03"
"26","2025-03-30 21:40:58","32.08","82","3.88"
"27","2025-03-30 22:40:58","30.59","88","2.57"
"28","2025-03-30 23:40:59","28.06","89","2.06"
"29","2025-03-31 00:40:59","28.06","89","2.57"
"30","2025-03-31 01:40:58","29.87","89","1.54"
"31","2025-03-31 02:40:58","29.78","92","3.09"
"32","2025-03-31 03:40:59","26.99","94","2.06"
"33","2025-03-31 04:40:58","26.99","94","2.57"
"34","2025-03-31 05:40:59","29.16","93","2.57"
"35","2025-03-31 06:40:59","26.99","89","3.09"
"36","2025-03-31 07:40:59","29.53","93","2.57"
"37","2025-03-31 08:40:59","29.03","85","2.06"
"38","2025-03-31 09:40:59","31.57","79","2.51"
"39","2025-03-31 10:40:59","33.15","68","2.8"
"40","2025-03-31 11:40:59","32.07","69","3.09"
"41","2025-03-31 12:40:58","33.25","64","3.57"
"42","2025-03-31 13:40:59","34.3","59","1.9"
"43","2025-03-31 14:40:59","33.48","60","3.6"
"44","2025-03-31 15:40:59","33.54","57","4.63"
"45","2025-03-31 16:40:59","32.55","64","3.6"
"46","2025-03-31 17:40:59","32.17","66","4.63"
"47","2025-03-31 18:40:59","31.16","72","2.57"
"48","2025-03-31 19:40:59","30.77","78","1.54"
"49","2025-03-31 20:47:13","30.77","79","3.6"
"50","2025-03-31 21:47:13","29.89","90","2.57"
"51","2025-03-31 22:47:13","30.32","82","2.06"
"52","2025-03-31 23:47:13","29.48","86","2.57"
"53","2025-04-01 00:47:13","27.12","86","1.54"
"54","2025-04-01 01:47:13","26.91","87","2.06"
"55","2025-04-01 02:47:13","26.91","87","0"
"56","2025-04-01 03:47:13","26.86","88","0.51"
"57","2025-04-01 04:47:13","28.78","85","1.54"
"58","2025-04-01 05:47:13","26.29","91","2.06"
"59","2025-04-01 06:47:13","26.08","91","2.06"
"60","2025-04-01 07:47:13","28.88","88","2.06"
"61","2025-04-01 08:47:13","29.51","89","1.54"
"62","2025-04-01 09:47:13","30.84","65","2.77"
"63","2025-04-01 10:47:14","32.3","68","3.09"
"64","2025-04-01 11:47:13","32.52","58","3.09"
"65","2025-04-01 12:47:13","34.26","56","3.09"
"66","2025-04-01 13:47:13","35.08","53","2.06"
"67","2025-04-01 14:47:13","35.58","51","2.57"
"68","2025-04-01 15:47:13","35.41","51","2.57"
"69","2025-04-01 16:47:13","35.28","52","3.09"
"70","2025-04-01 17:47:13","34.28","59","4.63"
"71","2025-04-01 18:47:13","32.04","58","3.6"
"72","2025-04-01 19:47:13","31.72","59","3.6"
"73","2025-04-01 20:47:13","31.01","63","2.57"
"74","2025-04-01 21:47:13","30.56","68","2.06"
"75","2025-04-01 22:47:13","30.02","70","1.54"
"76","2025-04-01 23:47:13","30.02","70","3.09"
"77","2025-04-02 00:47:13","29.31","73","1.03"
"78","2025-04-02 01:47:13","28.19","82","2.57"
"79","2025-04-02 02:47:13","27.95","86","1.54"
"80","2025-04-02 03:47:13","28.26","80","1.54"
"81","2025-04-02 04:47:13","28.26","80","1.54"
"82","2025-04-02 05:47:13","28.04","81","1.54"
"83","2025-04-02 06:47:13","28.22","81","2.06"
"84","2025-04-02 07:47:13","29.25","75","2.57"
"85","2025-04-02 08:47:13","31.23","62","4.12"
"86","2025-04-02 09:47:14","31.58","55","5.14"
"87","2025-04-02 10:47:13","33.57","52","4.63"
"88","2025-04-02 11:47:13","33.19","50","4.63"
"89","2025-04-02 12:47:13","34.6","47","3.09"
"90","2025-04-02 13:47:13","35.1","46","3.6"
"91","2025-04-02 14:47:14","35.26","44","3.6"
"92","2025-04-02 15:47:14","36.17","43","3.09"
"93","2025-04-02 16:47:13","35.29","44","3.6"
"94","2025-04-02 17:47:13","35.09","46","2.57"
"95","2025-04-02 18:47:13","33","49","2.06"
"96","2025-04-02 19:47:13","31.86","53","1.54"
"97","2025-04-02 20:47:13","30.78","64","4.12"
"98","2025-04-02 21:47:13","30.64","65","3.09"
"99","2025-04-02 22:47:13","29.41","70","2.06"
"100","2025-04-02 23:47:13","29.14","70","1.54"
"101","2025-04-03 00:47:13","29.2","71","1.54"
"102","2025-04-03 01:47:13","28.99","72","1.54"
"103","2025-04-03 02:47:13","28.95","74","1.54"
"104","2025-04-03 03:47:13","30","74","2.06"
"105","2025-04-03 04:47:13","30.43","78","1.68"
"106","2025-04-03 05:47:13","30.92","85","2.49"
"107","2025-04-03 06:47:13","30.17","86","2.16"
"108","2025-04-03 07:47:13","30.72","87","2.61"
"109","2025-04-03 08:47:13","31.49","80","3.29"
"110","2025-04-03 09:47:13","32.69","85","3.74"
"111","2025-04-03 10:47:13","33.65","72","3.87"
"112","2025-04-03 11:47:13","33.98","72","4.49"
"113","2025-04-03 12:47:14","34.08","67","2.57"
"114","2025-04-03 13:47:13","33.33","53","2.57"
"115","2025-04-03 14:47:14","34.39","51","2.57"
"116","2025-04-03 15:47:13","34.57","49","2.57"
"117","2025-04-03 16:47:14","35.02","48","2.06"
"118","2025-04-03 17:47:14","33.95","50","2.57"
"119","2025-04-03 18:47:14","33.24","59","1.03"
"120","2025-04-03 19:47:13","31.82","67","5.66"
"121","2025-04-03 20:47:13","31.26","71","5.14"
"122","2025-04-03 21:47:14","31.39","70","5.66"
"123","2025-04-03 22:47:13","29.77","70","4.12"
"124","2025-04-04 00:58:26","28.33","76","2.57"
"125","2025-04-04 01:58:26","28.95","78","3.09"
"126","2025-04-04 02:58:26","28.75","76","3.09"
"127","2025-04-04 03:58:26","29.09","86","2.57"
"128","2025-04-04 04:58:26","28.86","86","1.54"
"129","2025-04-04 05:58:26","28.97","89","2.06"
"130","2025-04-04 06:58:26","28.51","88","2.06"
"131","2025-04-04 07:58:26","30.91","82","2.39"
"132","2025-04-04 08:58:26","31.86","75","2.57"
"133","2025-04-04 09:58:26","32.9","72","2.57"
"134","2025-04-04 10:58:26","33.03","72","2.06"
"135","2025-04-04 11:58:26","34.65","66","1.54"
"136","2025-04-04 12:58:26","35.47","64","2.57"
"137","2025-04-04 13:58:26","36.05","72","6.29"
"138","2025-04-04 14:58:26","35.82","66","3.09"
"139","2025-04-04 15:58:26","36.27","72","6.17"
"140","2025-04-04 16:58:26","33.72","63","3.09"
"141","2025-04-04 17:58:26","33.29","64","5.66"
"142","2025-04-04 18:58:26","30.56","67","6.17"
"143","2025-04-04 19:58:26","30.89","75","5.14"
"144","2025-04-04 20:58:26","29.16","73","6.69"
"145","2025-04-04 21:58:26","29.16","70","6.17"
"146","2025-04-04 22:58:26","28.95","74","4.63"
"147","2025-04-04 23:58:26","28.95","74","5.14"
